"","Code","Sequences","G.C..","CV_N","CV_NN","CV_NNN","Length","Random.Walk","G.A","G.C","G.T","Median","Max","Min","AM","Sp.Median","Sp.Max","Sp.Min","Sp.AM","X.G.C...G.C.","CG.O.E","CG.GC","CG..TG.CA.","TG.CA.O.E","CpG.methylation"
"85","r85","(NT_002835.3 1187382-1188869)",0.686155913978495,0.388591982360379,0.630861564867169,19.8364159675456,1488,38.5746030439718,399.662357496925,117.106788872379,401.123422402632,399.662357496925,401.123422402632,117.106788872379,305.964189590645,10.3607639731598,10.3986403164119,3.03585207964129,7.93175212307102,-0.114593535749265,0.682706813692707,0.715151515151515,1.38011695906433,1.0686108579612,"Resistiant CGI"
"86","r86","(NT_002835.3 1441617-1443042)",0.598877980364656,0.21014947776126,0.379009091789329,12.4511545649389,1426,37.7624151769984,211.101871142821,71.6937933157397,200.249843945008,200.249843945008,211.101871142821,71.6937933157397,161.015169467856,5.30288762004245,5.59026402716438,1.89854894025447,4.26390019582043,-0.0725995316159251,0.534647787922897,0.53968253968254,0.666666666666667,1.18562112813825,"Resistiant CGI"
"87","r87","(NT_002835.3 1533742-1535201)",0.637671232876712,0.275754479443232,0.436203192941797,13.8704595611501,1460,38.2099463490856,284.682279041039,15.556349186104,284.256926036992,284.256926036992,284.682279041039,15.556349186104,194.831851421378,7.43934376248593,7.45047575937912,0.407128265608683,5.09898259582458,0.0118152524167562,0.822117603618573,0.865248226950355,1.55414012738854,0.930615890544436,"Resistiant CGI"
"88","r88","(NT_002835.3 1549573-1551858)",0.727909011373578,0.493130306005093,0.758070628732818,36.7988089990695,2286,47.8121323515277,753.936336834882,304.164429215515,780.935336631657,753.936336834882,780.935336631657,304.164429215515,613.012034227351,15.7687243750548,16.3334136802352,6.36165789426031,12.8212653165168,0.177884615384615,0.859398496240601,0.903225806451613,1.99209486166008,1.14042165538782,"Resistiant CGI"
"89","r89","(NT_002835.3 1604933-1607527)",0.648554913294798,0.303518789557721,0.464979135372724,25.2969811609879,2595,50.9411425078001,556.938955362255,113.846387733647,545.179786859344,545.179786859344,556.938955362255,113.846387733647,405.321709985082,10.7021507571383,10.9329890918127,2.23486129539037,7.9566670481138,-0.0481283422459893,0.888897381674268,0.812080536912752,1.67474048442907,0.973098063029397,"Resistiant CGI"
"90","r90","(NT_002835.3 1664660-1666157)",0.696261682242991,0.405736133396199,0.661051002556105,20.84428878614,1498,38.7040049607273,418.54987755344,108.784190027779,427.076105629898,418.54987755344,427.076105629898,108.784190027779,318.136724403706,10.8141231890121,11.0344163624217,2.81067011380766,8.21973655508048,0.0987535953978907,0.634109390665033,0.708074534161491,1.45222929936306,0.998751486325803,"Resistiant CGI"
"91","r91","(NT_002835.3 1671866-1673671)",0.587486157253599,0.184806419211852,0.325516235880523,13.3824453576318,1806,42.4970587217516,225.601418435257,75.9605160593318,233.944437847964,225.601418435257,233.944437847964,75.9605160593318,178.502124114184,5.30863606143608,5.50495598718278,1.78742996207529,4.20034067023138,-0.0254476908576814,0.91825719649562,0.83625730994152,1.48186528497409,0.884072601099771,"Resistiant CGI"
"92","r92","(NT_002835.3 1750441-1752578)",0.672591206735267,0.35517810672096,0.557885309259677,25.0720835791523,2138,46.2385120867876,522.335141456134,126.491106406735,536.479263345751,522.335141456134,536.479263345751,126.491106406735,395.10183706954,11.2965387051325,11.6024335371952,2.73562233510709,8.54486485914495,0.0723226703755216,0.723397056335645,0.746781115879828,1.28413284132841,1.15982592542177,"Resistiant CGI"
"93","r93","(NT_002835.3 1806394-1808604)",0.705563093622795,0.430537104679071,0.661755075924828,31.2384939755324,2211,47.021271782035,654.03440276487,199.832429800571,662.157836168991,654.03440276487,662.157836168991,199.832429800571,505.34155624481,13.9093303515187,14.0820911701069,4.2498303901027,10.7470839705761,0.126923076923077,1.00466589486451,0.912751677852349,2.4954128440367,0.954249297673562,"Resistiant CGI"
"94","r94","(NT_002835.3 2020037-2021768)",0.694572748267898,0.401532222098496,0.676857976122885,25.1849215491631,1732,41.6173040933696,483.359079774033,121.202310209006,485.108235345474,483.359079774033,485.108235345474,121.202310209006,363.223208442838,11.614377488018,11.6564070141862,2.91230565865306,8.72769672028577,-0.100581878636741,0.652869532196726,0.74585635359116,1.38461538461538,1.0628441954873,"Resistiant CGI"
