"","Code","Sequences","G.C..","CV_N","CV_NN","CV_NNN","Length","Random.Walk","G.A","G.C","G.T","Median","Max","Min","AM","Sp.Median","Sp.Max","Sp.Min","Sp.AM","X.G.C...G.C.","CG.O.E","CG.GC","CG..TG.CA.","TG.CA.O.E","CpG.methylation"
"57","r57","(NT_002836.4 26390768-26392267)",0.544,0.114744159861068,0.268194550464463,10.3602587292741,1500,38.7298334620742,101.950968607463,78.1024967590665,114.58621208505,101.950968607463,114.58621208505,78.1024967590665,98.2132258171932,2.63236269030947,2.95860327406926,2.01659779496722,2.53585458644865,0.0931372549019608,0.845352078535935,0.744,1.08139534883721,0.926764084658822,"Resistiant CGI"
"58","r58","(NT_002836.4 26556991-26558660)",0.570059880239521,0.148951418768961,0.278521024098031,12.0621761614561,1670,40.8656334834051,173.118456555042,59.6657355607052,168.362703708393,168.362703708393,173.118456555042,59.6657355607052,133.71563194138,4.11990930660018,4.23628466753961,1.46004675505482,3.27208024306487,0.0147058823529412,0.803568669518424,0.767605633802817,0.956140350877193,1.11276718862333,"Resistiant CGI"
"59","r59","(NT_002836.4 27791317-27792866)",0.575483870967742,0.17201989091965,0.343926986666212,12.7142574989655,1550,39.3700393700591,185.951606607741,90.37698822156,168.362703708393,168.362703708393,185.951606607741,90.37698822156,148.230432845898,4.27641695061226,4.72317553101451,2.29557779640657,3.76505675934445,-0.0919282511210762,0.848733744010951,0.642857142857143,1.125,1.00872465477619,"Resistiant CGI"
"60","r60","(NT_002836.4 28112154-28114765)",0.661179173047473,0.322544714834894,0.536876376943464,30.3533712861932,2612,51.1077293567226,595.713018155555,20.2484567313166,595.399025864168,595.399025864168,595.713018155555,20.2484567313166,403.78683358368,11.6498821872596,11.6560259211985,0.396191671713413,7.90069992672384,-0.00984365952518819,0.749729062717957,0.735395189003436,1.61509433962264,0.905649811393828,"Resistiant CGI"
"61","r61","(NT_002836.4 28452242-28454382)",0.681924334423167,0.366944313151849,0.577424897818919,25.5231541249191,2141,46.2709412050371,553.119336129194,72.0069441095788,553.249491640074,553.119336129194,553.249491640074,72.0069441095788,392.791923959615,11.9539244658585,11.9567373654342,1.55620227802369,8.48895470310545,-0.0493150684931507,0.688691206236221,0.733905579399142,1.41908713692946,1.0379948259283,"Resistiant CGI"
"62","r62","(NT_003545.2 122339-124366)",0.680473372781065,0.383166237749723,0.598723421972217,27.5006924628726,2028,45.0333209967908,549.283169230589,184.390889145858,517.79532635975,517.79532635975,549.283169230589,184.390889145858,417.156461578732,11.498048886882,12.1972609852543,4.09454344171059,9.26328443794896,0.101449275362319,0.75748726655348,0.715447154471545,1.06344410876133,1.4736301369863,"Resistiant CGI"
"63","r63","(NT_003545.2 178197-181181)",0.620435510887772,0.247143332558591,0.411822776178497,28.0036923834943,2985,54.6351535185909,510.004901937226,116.777566338745,520.089415389315,510.004901937226,520.089415389315,116.777566338745,382.290627888429,9.33473906618904,9.51931827577537,2.13740712376709,6.9971548219105,0.0572354211663067,0.991895088964474,0.922077922077922,1.97222222222222,0.821433246604832,"Resistiant CGI"
"64","r64","(NT_003545.2 387867-389371)",0.689700996677741,0.379914822345237,0.59880010547728,19.1947194785278,1505,38.7943294825416,404.030939409348,21,404.030939409348,404.030939409348,404.030939409348,21,276.353959606232,10.4146906209881,10.4146906209881,0.54131622533779,7.12356582243798,0,0.687237573368082,0.706896551724138,1.35911602209945,1.12390819109389,"Resistiant CGI"
"65","r65","(NT_003545.2 403601-405007)",0.626865671641791,0.256946102783168,0.412230733504296,12.8128715647342,1407,37.5099986670221,253.647393047908,40.3112887414927,254.434667449229,253.647393047908,254.434667449229,40.3112887414927,182.797783079543,6.76212748764795,6.78311587552581,1.07468115633215,4.87330817316864,0.0453514739229025,0.688707292316095,0.678571428571429,1.01604278074866,1.13690828562169,"Resistiant CGI"
"66","r66","(NT_003545.2 665089-666509)",0.627726952850106,0.265606484234891,0.444401351257849,13.6662845713228,1421,37.6961536499415,259.007721892611,73.0821455623739,264.622372447985,259.007721892611,264.622372447985,73.0821455623739,198.904079967656,6.87093235818802,7.01987727727747,1.93871624784422,5.27650862776991,-0.07847533632287,0.654106661405931,0.733870967741935,1.02824858757062,1.06937954668175,"Resistiant CGI"
